"","Value","Freq","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,108334,618852475,"Open Water",215,237,247,0.843137255,0.929411765,0.968627451,24093,0.6
"2",13,28197,32666410,"Developed-Upland Deciduous Forest",145,186,136,0.568627451,0.729411765,0.533333333,6271,0.1
"3",14,381685,27916204,"Developed-Upland Evergreen Forest",106,141,121,0.415686275,0.552941176,0.474509804,84885,1.9
"4",15,23415,14399371,"Developed-Upland Mixed Forest",84,112,99,0.329411765,0.439215686,0.388235294,5207,0.1
"5",16,25252,51432545,"Developed-Upland Herbaceous",116,155,148,0.454901961,0.607843137,0.580392157,5616,0.1
"6",17,98936,46968954,"Developed-Upland Shrubland",187,174,140,0.733333333,0.682352941,0.549019608,22003,0.5
"7",22,100015,101146235,"Developed - Low Intensity",153,153,153,0.6,0.6,0.6,22243,0.5
"8",23,48645,47439540,"Developed - Medium Intensity",102,102,102,0.4,0.4,0.4,10818,0.2
"9",24,24666,23025357,"Developed - High Intensity",51,51,51,0.2,0.2,0.2,5486,0.1
"10",25,557114,278209151,"Developed-Roads",0,0,0,0,0,0,123899,2.8
"11",31,48058,110941119,"Barren",192,180,176,0.752941176,0.705882353,0.690196078,10688,0.2
"12",32,844,7352699,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",204,204,204,0.8,0.8,0.8,188,0
"13",61,9478,5090489,"NASS-Vineyard",214,210,77,0.839215686,0.823529412,0.301960784,2108,0
"14",63,423,39156145,"NASS-Row Crop-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,94,0
"15",64,1475,996488292,"NASS-Row Crop",214,210,77,0.839215686,0.823529412,0.301960784,328,0
"16",65,4672,96060928,"NASS-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,1039,0
"17",68,6275,187766346,"NASS-Wheat",214,210,77,0.839215686,0.823529412,0.301960784,1396,0
"18",100,36795,85409438,"Sparse Vegetation Canopy",126,106,128,0.494117647,0.415686275,0.501960784,8183,0.2
"19",101,706,23978382,"Tree Height = 1 meter",228,239,224,0.894117647,0.937254902,0.878431373,157,0
"20",102,1602,19983841,"Tree Height = 2 meters",225,237,220,0.882352941,0.929411765,0.862745098,356,0
"21",103,12961,33768345,"Tree Height = 3 meters",221,235,216,0.866666667,0.921568627,0.847058824,2882,0.1
"22",104,5411,36723688,"Tree Height = 4 meters",218,233,212,0.854901961,0.91372549,0.831372549,1203,0
"23",105,9202,50517943,"Tree Height = 5 meters",214,231,207,0.839215686,0.905882353,0.811764706,2046,0
"24",106,15436,40921392,"Tree Height = 6 meters",206,227,198,0.807843137,0.890196078,0.776470588,3433,0.1
"25",107,23113,35815084,"Tree Height = 7 meters",198,223,188,0.776470588,0.874509804,0.737254902,5140,0.1
"26",108,262626,83421369,"Tree Height = 8 meters",189,218,179,0.741176471,0.854901961,0.701960784,58407,1.3
"27",109,44715,44002137,"Tree Height = 9 meters",181,214,169,0.709803922,0.839215686,0.662745098,9944,0.2
"28",110,79189,59168121,"Tree Height = 10 meters",173,210,160,0.678431373,0.823529412,0.62745098,17611,0.4
"29",111,78522,66078363,"Tree Height = 11 meters",165,206,152,0.647058824,0.807843137,0.596078431,17463,0.4
"30",112,103149,90377419,"Tree Height = 12 meters",156,201,143,0.611764706,0.788235294,0.560784314,22940,0.5
"31",113,129193,120127380,"Tree Height = 13 meters",148,197,135,0.580392157,0.77254902,0.529411765,28732,0.7
"32",114,168857,179336753,"Tree Height = 14 meters",140,194,126,0.549019608,0.760784314,0.494117647,37553,0.9
"33",115,212819,181812671,"Tree Height = 15 meters",132,190,117,0.517647059,0.745098039,0.458823529,47330,1.1
"34",116,277920,238107595,"Tree Height = 16 meters",124,187,108,0.48627451,0.733333333,0.423529412,61808,1.4
"35",117,345987,197064685,"Tree Height = 17 meters",115,183,99,0.450980392,0.717647059,0.388235294,76946,1.8
"36",118,2329523,409548202,"Tree Height = 18 meters",106,180,91,0.415686275,0.705882353,0.356862745,518073,11.9
"37",119,526397,196386027,"Tree Height = 19 meters",97,177,84,0.380392157,0.694117647,0.329411765,117068,2.7
"38",120,637109,180182164,"Tree Height = 20 meters",87,174,77,0.341176471,0.682352941,0.301960784,141690,3.2
"39",121,709912,148652997,"Tree Height = 21 meters",78,171,70,0.305882353,0.670588235,0.274509804,157881,3.6
"40",122,785795,130787915,"Tree Height = 22 meters",71,164,64,0.278431373,0.643137255,0.250980392,174757,4
"41",123,796839,108221951,"Tree Height = 23 meters",66,154,60,0.258823529,0.603921569,0.235294118,177213,4.1
"42",124,802999,87181121,"Tree Height = 24 meters",62,143,56,0.243137255,0.560784314,0.219607843,178583,4.1
"43",125,742880,66488811,"Tree Height = 25 meters",58,133,52,0.22745098,0.521568627,0.203921569,165213,3.8
"44",126,687849,38847407,"Tree Height = 26 meters",50,126,51,0.196078431,0.494117647,0.2,152974,3.5
"45",127,609798,28602678,"Tree Height = 27 meters",36,122,53,0.141176471,0.478431373,0.207843137,135616,3.1
"46",128,535170,9055190,"Tree Height = 28 meters",23,118,56,0.090196078,0.462745098,0.219607843,119019,2.7
"47",129,452001,7389411,"Tree Height = 29 meters",9,115,58,0.035294118,0.450980392,0.22745098,100523,2.3
"48",130,408634,5699098,"Tree Height = 30 meters",3,110,58,0.011764706,0.431372549,0.22745098,90878,2.1
"49",131,323253,4468374,"Tree Height = 31 meters",12,103,51,0.047058824,0.403921569,0.2,71890,1.6
"50",132,286280,3629407,"Tree Height = 32 meters",21,97,45,0.082352941,0.380392157,0.176470588,63667,1.5
"51",133,242141,3240613,"Tree Height = 33 meters",30,90,38,0.117647059,0.352941176,0.149019608,53851,1.2
"52",134,210500,2589039,"Tree Height = 34 meters",35,85,34,0.137254902,0.333333333,0.133333333,46814,1.1
"53",135,175017,2337718,"Tree Height = 35 meters",26,85,37,0.101960784,0.333333333,0.145098039,38923,0.9
"54",136,233266,2564243,"Tree Height = 36 meters",17,81,39,0.066666667,0.317647059,0.152941176,51877,1.2
"55",137,158815,1151002,"Tree Height = 37 meters",8,84,42,0.031372549,0.329411765,0.164705882,35320,0.8
"56",138,1573321,20171190,"Tree Height = 38 meters",0,83,45,0,0.325490196,0.176470588,349898,8
"57",139,43161,476415,"Tree Height = 39 meters",0,76,41,0,0.298039216,0.160784314,9599,0.2
"58",142,2,11172,"Tree Height = 42 meters",0,56,30,0,0.219607843,0.117647059,0,0
"59",201,2,4876712,"Shrub Height = 0.1 meter",239,228,204,0.937254902,0.894117647,0.8,0,0
"60",202,141,136990412,"Shrub Height = 0.2 meter",237,225,198,0.929411765,0.882352941,0.776470588,31,0
"61",203,7308,190257357,"Shrub Height = 0.3 meter",235,222,193,0.921568627,0.870588235,0.756862745,1625,0
"62",204,1467,213842140,"Shrub Height = 0.4 meter",233,220,187,0.91372549,0.862745098,0.733333333,326,0
"63",205,3088,162002292,"Shrub Height = 0.5 meter",231,217,182,0.905882353,0.850980392,0.71372549,687,0
"64",206,14822,147479762,"Shrub Height = 0.6 meter",229,214,177,0.898039216,0.839215686,0.694117647,3296,0.1
"65",207,18745,156580406,"Shrub Height = 0.7 meter",227,211,172,0.890196078,0.82745098,0.674509804,4169,0.1
"66",208,113073,269429020,"Shrub Height = 0.8 meter",225,209,166,0.882352941,0.819607843,0.650980392,25147,0.6
"67",209,32667,104787172,"Shrub Height = 0.9 meter",224,206,161,0.878431373,0.807843137,0.631372549,7265,0.2
"68",210,57749,43505615,"Shrub Height = 1 meter",222,204,156,0.870588235,0.8,0.611764706,12843,0.3
"69",211,51453,60993359,"Shrub Height = 1.1 meters",220,201,151,0.862745098,0.788235294,0.592156863,11443,0.3
"70",212,85710,38607461,"Shrub Height = 1.2 meters",216,197,145,0.847058824,0.77254902,0.568627451,19061,0.4
"71",213,75894,22507662,"Shrub Height = 1.3 meters",201,183,135,0.788235294,0.717647059,0.529411765,16878,0.4
"72",214,105868,20687096,"Shrub Height = 1.4 meters",186,170,125,0.729411765,0.666666667,0.490196078,23544,0.5
"73",215,89270,16605241,"Shrub Height = 1.5 meters",171,156,115,0.670588235,0.611764706,0.450980392,19853,0.5
"74",216,97083,15853090,"Shrub Height = 1.6 meters",159,142,106,0.623529412,0.556862745,0.415686275,21591,0.5
"75",217,72766,16568684,"Shrub Height = 1.7 meters",150,128,98,0.588235294,0.501960784,0.384313725,16183,0.4
"76",218,76705,17669937,"Shrub Height = 1.8 meters",140,115,90,0.549019608,0.450980392,0.352941176,17059,0.4
"77",219,50504,14202539,"Shrub Height = 1.9 meters",130,101,82,0.509803922,0.396078431,0.321568627,11232,0.3
"78",220,70076,18587276,"Shrub Height = 2.0 meters",121,92,70,0.474509804,0.360784314,0.274509804,15585,0.4
"79",221,29441,12295477,"Shrub Height = 2.1 meters",112,79,58,0.439215686,0.309803922,0.22745098,6548,0.1
"80",222,28088,13335129,"Shrub Height = 2.2 meters",104,68,46,0.407843137,0.266666667,0.180392157,6247,0.1
"81",223,19910,10081173,"Shrub Height = 2.3 meters",95,59,36,0.37254902,0.231372549,0.141176471,4428,0.1
"82",224,13888,10891914,"Shrub Height = 2.4 meters",89,55,34,0.349019608,0.215686275,0.133333333,3089,0.1
"83",225,8523,7385668,"Shrub Height = 2.5 meters",82,51,31,0.321568627,0.2,0.121568627,1895,0
"84",226,8066,8470983,"Shrub Height = 2.6 meters",75,47,29,0.294117647,0.184313725,0.11372549,1794,0
"85",227,5208,6337719,"Shrub Height = 2.7 meters",69,42,26,0.270588235,0.164705882,0.101960784,1158,0
"86",228,6789,6510582,"Shrub Height = 2.8 meters",62,38,24,0.243137255,0.149019608,0.094117647,1510,0
"87",229,2807,4373514,"Shrub Height = 2.9 meters",56,34,21,0.219607843,0.133333333,0.082352941,624,0
"88",230,9790,24747653,"Shrub Height >= 3.0 meters",49,30,19,0.192156863,0.117647059,0.074509804,2177,0
"89",301,65156,45690172,"Herb Height = 0.1 meter",204,230,225,0.8,0.901960784,0.882352941,14490,0.3
"90",302,168526,357930043,"Herb Height = 0.2 meter",170,213,205,0.666666667,0.835294118,0.803921569,37479,0.9
"91",303,1188101,893522820,"Herb Height = 0.3 meter",136,197,185,0.533333333,0.77254902,0.725490196,264227,6
"92",304,376691,397781502,"Herb Height = 0.4 meter",102,180,165,0.4,0.705882353,0.647058824,83774,1.9
"93",305,32882,89385730,"Herb Height = 0.5 meter",68,163,145,0.266666667,0.639215686,0.568627451,7313,0.2
"94",306,8457,30207424,"Herb Height = 0.6 meter",37,147,125,0.145098039,0.576470588,0.490196078,1881,0
"95",307,5734,25580956,"Herb Height = 0.7 meter",0,130,105,0,0.509803922,0.411764706,1275,0
"96",308,98420,67066487,"Herb Height = 0.8 meter",0,123,122,0,0.482352941,0.478431373,21888,0.5
